# File created by converting ColoF.sum to a CSV file, using msm-sum-to-csv.py
#----------------------------------------------------------
# # ********************************************************************************
# #
# # *.sum       Mixed Station Summary Information
# #
# #  Filename:  ColoF.sum
# #
# #  **** = 95% Confidence Interval Not Met
# #
# # ********************************************************************************
# # File History:
# # ********************************************************************************
# #
# # *.xbf       Filled Base Flow at Stream Gages - Mixed Station Model
# #
# #  Mixed Station Model Version:  PC (89/07/18) (Modified 6/8/99)
# #  Run Date and Time:  9/13/99 16:21:15
# #  Filename:  ColoF-1.xbf
# #  Regression:  Simple Linear Regression (Log Transform)
# #  Method:  SEP Dependent
# #  Independent Stations:  All
# #  First Year of Extended Record:  1909
# #  Min. No. of Concurrent Values Required:  5
# #  Confidence Interval:  95%
# #
# # ********************************************************************************
# #
# # 
# # ********************************************************************************
# # *.xbg       Base Flow at Stream Gages                        
# #
# #  UPPER COLORADO RIVER BASIN                                                     
# #  Historic Diversions made at respective historic diversion location             
# #
# #  Statemod Version:  8.24 (1999/07/19)
# #  Run date and time:    9/ 1/99  8: 5:50
# # 
# # ********************************************************************************
# # ********************************************************************************
# #
# # Individual Gage Mixed Station Summary Information:
# 
#   Basin Key:
#   K - KeyGages
#   C - ColoF
# 
# 
# The original ****, which indicates not passing the T test, is replaced with blanks below
#--------------------------------------------------------------------------------------
#Dependent,IndepStation,Basin,ConcurrentValues,R_Jan,R_Feb,R_Mar,R_Apr,R_May,R_Jun,R_Jul,R_Aug,R_Sep,R_Oct,R_Nov,R_Dec,R
"TSID","TSID-Independent","Basin","N1","R_1","R_2","R_3","R_4","R_5","R_6","R_7","R_8","R_9","R_10","R_11","R_12","R"
09032499,09025000,C,204,0.64,0.55,,0.56,0.85,0.70,0.77,0.90,0.62,0.68,0.71,0.53,0.91
09032499,09026500,C,204,0.62,,,0.69,0.86,0.62,0.69,0.84,0.55,0.73,0.51,0.70,0.92
09032499,09032000,C,204,0.83,0.82,,0.82,0.79,0.71,0.71,0.74,,,0.64,0.88,0.92
09032499,09034250,C,120,,,,0.92,0.65,0.94,0.98,0.97,,0.85,,,0.96
09032499,09034500,C,204,,0.51,0.64,0.64,0.51,0.78,0.75,0.92,0.54,0.80,0.68,,0.95
09032499,09034500,K,204,,0.49,,,,0.48,0.74,0.92,0.64,0.74,0.59,0.52,0.85
09032499,09035500,C,204,,,,0.49,0.91,0.77,0.72,0.87,0.62,0.65,0.62,,0.91
09032499,09036000,C,204,0.56,0.54,,0.79,0.85,0.83,0.77,0.90,0.66,0.66,0.76,0.54,0.94
09032499,09037500,C,204,0.51,0.53,0.52,0.68,0.57,0.77,0.71,0.84,0.60,0.75,0.73,0.58,0.95
09032499,09037500,K,204,0.55,0.54,0.56,0.51,,0.73,0.71,0.78,0.70,0.74,0.70,0.57,0.87
09032499,09038500,C,204,,0.60,0.64,0.67,0.59,0.75,0.73,0.87,0.52,0.72,0.69,,0.94
09032499,09041500,C,74,,,,0.92,,,0.97,,,,,,0.84
09032499,09046600,C,204,,,,0.61,0.62,0.62,0.73,0.79,0.69,0.75,0.66,,0.91
09032499,09047500,C,204,,,,0.76,0.92,0.65,0.70,0.76,,0.69,0.76,,0.91
09032499,09052800,C,204,,,,0.59,0.70,0.85,0.75,0.81,0.50,0.53,0.57,,0.92
09032499,09057500,C,204,,0.50,0.57,0.74,0.62,0.68,0.72,0.90,0.61,0.81,0.83,0.63,0.95
09032499,09058000,C,204,,,0.67,0.67,0.48,0.71,0.75,0.88,0.61,0.79,0.76,,0.95
09032499,09063000,C,204,,,,0.68,0.56,,0.69,0.86,0.62,0.83,0.71,0.58,0.94
09032499,09070500,C,204,0.62,0.53,0.62,0.68,,0.64,0.72,0.86,0.65,0.73,0.55,0.68,0.95
09032499,09073400,C,204,0.61,0.52,,0.69,0.81,0.55,0.67,0.81,,0.69,0.61,0.59,0.94
09032499,09074000,C,204,0.49,0.49,0.52,0.69,0.70,0.53,0.69,0.82,0.67,0.73,0.58,,0.95
09032499,09078600,C,192,0.74,0.73,0.58,0.78,0.71,0.74,0.87,0.87,0.68,0.74,0.72,0.73,0.97
09032499,09085000,C,204,0.54,,,,,0.50,0.65,0.74,0.57,0.66,0.54,0.50,0.94
09032499,09085100,C,204,0.53,0.49,0.53,0.61,,0.62,0.70,0.83,0.63,0.73,0.61,0.53,0.95
09032499,09093500,C,95,,,,,,,,,,-.77,,,0.50
09032499,09095000,C,84,,,,-.76,,,,,,,,,0.60
09032499,09095500,C,204,0.49,0.48,0.56,0.59,,0.59,0.69,0.83,0.64,0.72,0.65,0.60,0.94
09032499,09239500,K,204,,0.51,,,,0.55,0.64,0.75,0.62,0.73,0.54,,0.86
09032499,09251000,K,204,0.56,,,,,0.59,0.64,0.69,0.70,0.74,0.60,,0.77
09032499,09340500,K,204,,0.49,0.59,0.51,,,0.60,0.70,0.64,0.67,0.54,0.54,0.81
09032499,954001,C,204,,-.56,,,,,,,,-.50,,,0.75
09032500,09010500,C,88,0.76,0.89,0.88,0.81,0.77,0.93,0.99,0.96,0.87,0.84,,,0.95
09032500,09011000,C,312,0.51,,,0.71,0.88,0.93,0.91,0.84,0.56,0.79,0.52,0.59,0.94
09032500,09019500,C,226,,,,,0.92,0.94,0.81,,,,,,0.67
09032500,09024000,C,312,,,,0.74,0.83,0.93,0.94,0.90,0.83,0.82,0.65,0.73,0.92
09032500,09032000,C,312,,,,0.81,0.95,0.99,0.97,0.94,0.89,0.86,0.57,0.59,0.93
09032500,09034000,C,219,,,,0.83,0.84,0.96,0.95,0.94,0.88,0.87,0.62,,0.97
09032500,09034500,C,312,,,,0.71,0.96,0.97,0.93,0.71,0.54,0.56,0.47,,0.85
09032500,09034500,K,312,0.39,,,0.72,0.62,0.59,0.68,0.67,0.63,0.59,0.60,0.56,0.90
